"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"NOE00110860","STADLANDET, NO","2017",,"         4","         6","         0","3017.3","7.8","10.6","5.0"
"NOE00109993","KVIKNE I OSTERDAL, NO","2017","      189",,,,"666.8",,,
"NOE00134154","LESJA SVANBORG, NO","2017","      147",,,,"463.8",,,
"NOE00110500","FLEKKEFJORD, NO","2017","        8",,,,"2824.1",,,
"NOE00132894","UKKESTAD, NO","2017","       73",,,,"1005.7",,,
"NOE00109876","MOSS BRANNSTASJON, NO","2017","       27",,,,"922.4",,,
"NOE00110065","LUNNER, NO","2017","       95",,,,"831.6",,,
"NOE00109631","LINDESNES FYR, NO","2017","        2","         4","         1","         0","1603.9","8.9","10.6","7.2"
"NOE00111156","ALSVAG I VERSTERALEN II, NO","2017","      113",,,,"1146.8",,,
"NOE00134038","NAMSOS LUFTHAVN, NO","2017",,"        40","        23","         0",,"5.9","9.0","2.8"
"NOE00133746","VIGRA, NO","2017","       24","         1","         8","         0","1692.5","8.2","10.9","5.4"
"NOE00110869","VIK I SOGN III, NO","2017","       46",,,,"1393.9",,,
"NOE00110743","AURLAND, NO","2017","       15",,,,"922.4",,,
"NOE00134718","STUGUDAL KASEN, NO","2017","      210",,,,"984.9",,,
"NOE00110986","AUNET, NO","2017","      156",,,,"1061.3",,,
"NOE00134958","FINSLAND, NO","2017","       62",,,,"1822.0",,,
"NOE00156739","LINGE, NO","2017",,"        12","        30","         0",,"8.3","11.7","4.9"
"NOE00110509","BJORHEIM I RYFYLKE, NO","2017",,,,,"2567.1",,,
"NO000001026","TROMSO, NO","2017","      194","        70","         5","         0","1066.2","3.6","6.4","0.8"
"NOE00111040","TRONDHEIM VOLL, NO","2017",,"        35","        15","         0","801.6","6.1","9.3","3.0"
"NOE00109746","TAFJORD, NO","2017",,"        13","        25","         0","1255.2","8.1","11.6","4.7"
"NOE00133194","SIRBMA, NO","2017",,,,,"510.1",,,
"NOE00110752","BOTNEN I FORDE, NO","2017","      164",,,,"3170.2",,,
"NOE00134022","LEKSVIK MYRAN, NO","2017","       96",,,,"1529.6",,,
"NOE00110995","AURSUND, NO","2017","      209",,,,"746.8",,,
"NOE00109622","ROROS AIRPORT, NO","2017","      179","        94","         6","         0","543.3","0.9","5.6","-3.8"
"DA000025140","NORDBY FANO, DA","2017",,,,,"979.6",,,
"NOE00109984","KISE PA HEDMARK, NO","2017",,"        71","        36","         0","573.7","5.2","9.5","1.0"
"NOE00133614","ERESFJORD, NO","2017","       79",,,,"1922.7",,,
"NOE00133978","STOKMARKNES LH SKAGEN, NO","2017",,"        20","         5","         0",,"4.9","7.9","1.8"
"NOE00110518","EGERSUND, NO","2017","       10",,,,"2092.9",,,
"NOE00133854","KVITFOSSEN I VAGAN, NO","2017",,,,,"3079.0",,,
"NOE00133734","SAEBO, NO","2017",,,,,"2571.7",,,
"NOE00110635","FANA STEND, NO","2017",,,,,"2868.8",,,
"NOE00134826","KVITESEID MOEN, NO","2017","      125",,,,"989.2",,,
"NOE00110878","YTRE SOLUND, NO","2017","       12",,,,"2042.1",,,
"NO000050540","BERGEN FLORIDA, NO","2017","        6","         2","        20","         0","3092.0","8.9","11.9","6.0"
"NOE00109737","ONA II, NO","2017",,"         0","         0","         0",,"8.4","10.1","6.6"
"NOE00109858","STROMSFOSS SLUSE, NO","2017","       17",,,,"809.6",,,
"NOE00110083","PRESTSTULEN, NO","2017","      182",,,,"501.8",,,
"NOE00134394","SAND I RYFYLKE II, NO","2017","       15",,,,"3229.7",,,
"NOE00134274","OSLO BLINDERN PLU, NO","2017",,"        33","        72","         0",,"7.6","11.4","3.8"
"DA000021100","VESTERVIG, DA","2017",,,,,"869.3",,,"6.6"
"NOE00111138","SORLI, NO","2017","      155",,,,"697.9",,,
"NOE00132990","BOYLEFOSS, NO","2017","       62",,,,"1678.1",,,
"NOE00109777","SLETTNES FYR, NO","2017",,"        56","         2","         0",,"2.8","5.1","0.4"
