"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"SZ000002220","SAENTIS, SZ","2016",,"       152","         0","         0","2960.9",,"1.9",
"DA000025140","NORDBY FANO, DA","2016",,,,,"663.5",,,
"DAE00100980","TRANEBJERG OST 1, DA","2016",,"        10","        39","         0","557.2","9.4","12.0","6.7"
"SZE00116090","PAYERNE, SZ","2016",,,,,"1019.8",,,
"DA000030370","KOEBENHAVN BOTANISK HAVE, DA","2016",,,,,"599.1",,,
"SZE00105086","SION 2, SZ","2016",,,,,,,,
"DAE00100416","STORE JYNDEVAD, DA","2016",,,,,"923.7",,,
"SZ000003700","ZUERICH FLUNTERN, SZ","2016",,"         8","        93","         1","1296.9",,"14.1",
"SZ000001940","BASEL BINNINGEN, SZ","2016",,"         4","        98","         5","945.9","11.1","15.4","6.8"
"IC000004013","STYKKISHOLMUR, IC","2016",,"        24","         0","         0","806.2","5.7","8.0","3.4"
"IC000004030","REYKJAVIK, IC","2016",,"        14","         2","         0","933.9","6.3","8.9","3.6"
"SZ000009480","LUGANO, SZ","2016",,,,,,,,
"IC000004097","DALATANGI, IC","2016",,"        16","         0","         0","1649.0","5.4","7.5","3.2"
"DA000030380","KOEBENHAVN LANDBOHOJSKOLEN 1, DA","2016",,,,,,,,"6.8"
"ICM00004130","REYKJAVIK, IC","2016",,"        12","         0","         0",,"6.1","8.3","3.8"
"SZ000008440","GENEVE COINTRIN, SZ","2016",,,,,"888.0",,,
"DA000021100","VESTERVIG, DA","2016",,,,,"663.7",,,"6.4"
"DA000021430","GRONBAEK ALLINGSKOVGARD, DA","2016",,,,,"801.3",,,
