"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"NOE00110860","STADLANDET, NO","2018",,"         6","        23","         0","2413.9","7.8","10.8","4.7"
"NOE00109993","KVIKNE I OSTERDAL, NO","2018","      150",,,,"552.6",,,
"NOE00110500","FLEKKEFJORD, NO","2018","       41",,,,"2178.8",,,
"NOE00132894","UKKESTAD, NO","2018","      136",,,,"742.0",,,
"NOE00109876","MOSS BRANNSTASJON, NO","2018","       76",,,,"705.3",,,
"NOE00109631","LINDESNES FYR, NO","2018","        2","        15","        20","         0","1133.9","8.8","10.6","7.0"
"NOE00133746","VIGRA, NO","2018","       10","         2","        15","         0","1419.5","8.1","11.0","5.1"
"NOE00110869","VIK I SOGN III, NO","2018","      101",,,,"1132.0",,,
"NOE00110743","AURLAND, NO","2018","        3",,,,"727.7",,,
"NOE00134718","STUGUDAL KASEN, NO","2018","      166",,,,"772.7",,,
"NOE00110986","AUNET, NO","2018","      143",,,,"761.0",,,
"FIE00142561","HUITTINEN SALLILA, FI","2018",,,,,"505.7",,,
"FIE00144982","LIEKSA LAMPELA, FI","2018",,"       113","        63","         0","505.1","3.5","8.0","-1.1"
"FIE00144862","RAUTAVAARA YLA LUOSTA, FI","2018",,"       121","        61","         0","666.8","3.2","7.8","-1.3"
"NOE00156739","LINGE, NO","2018",,"        10","        55","         1",,"8.7","12.2","5.1"
"FIE00142441","LAITILA HAUKKA, FI","2018",,,,,"402.7",,,
"FIE00143897","KANGASNIEMI KIRKONKYLA, FI","2018",,,,,"528.2",,,
"FIE00144742","SUONENJOKI IISVESI, FI","2018",,,,,"477.8",,,
"FIE00143416","IKAALINEN VEHUVARPEE, FI","2018",,,,,"617.0",,,
"FIE00144747","KARTTULA KALLIORANTA, FI","2018",,,,,"588.3",,,
"NOE00109746","TAFJORD, NO","2018",,"        14","        52","         1","870.8","8.6","12.1","5.0"
"NOE00110752","BOTNEN I FORDE, NO","2018","      151",,,,"2606.1",,,
"NOE00110995","AURSUND, NO","2018","      178",,,,"567.4",,,
"NOE00109622","ROROS AIRPORT, NO","2018","      151","       110","        45","         0","447.1","1.6","7.1","-4.0"
"DA000025140","NORDBY FANO, DA","2018",,,,,"677.5",,,
"NOE00109984","KISE PA HEDMARK, NO","2018",,"        85","        79","         2","509.3","5.6","10.5","0.8"
"NOE00133614","ERESFJORD, NO","2018","      121",,,,"1145.4",,,
"NOE00133978","STOKMARKNES LH SKAGEN, NO","2018",,,,,,,,
"NOE00133854","KVITFOSSEN I VAGAN, NO","2018",,,,,"3045.7",,,
"NOE00133734","SAEBO, NO","2018",,,,,"1892.9",,,
"NOE00110635","FANA STEND, NO","2018",,,,,"2044.6",,,
"NOE00134826","KVITESEID MOEN, NO","2018","      136",,,,"777.0",,,
"NOE00110878","YTRE SOLUND, NO","2018","       13",,,,"1575.3",,,
"FIE00144751","KUOPIO RITONIEMI, FI","2018",,"        99","        64","         0",,"4.8","8.3","1.4"
"FIE00142571","KOYLIO YTTILA, FI","2018",,,,,"437.5",,,
"FIE00142331","PORVOO HARABACKA, FI","2018",,"        70","        76","         0","516.7","6.3","10.4","2.3"
"FIE00142696","NOKIA TOTTIJARVI, FI","2018",,,,,"481.5",,,
"FIE00143546","ALAVUS SULKAVANKYLA, FI","2018",,,,,"397.0",,,
"FIE00145727","UTAJARVI SARKIJARVI, FI","2018",,,,,"449.5",,,
"NOE00109737","ONA II, NO","2018",,"         5","         5","         0",,"8.3","10.1","6.4"
"NOE00109858","STROMSFOSS SLUSE, NO","2018","       79",,,,"733.3",,,
"FIE00143306","PARIKKALA KOITSANLAHTI, FI","2018",,,,,"519.6",,,
"FIE00144637","VESANTO SONKARI, FI","2018",,"       106","        68","         0","457.1","4.2","8.6","-0.3"
"NOE00132990","BOYLEFOSS, NO","2018","      126",,,,"1247.8",,,
"NOE00109777","SLETTNES FYR, NO","2018",,"        80","         8","         0",,"3.1","5.6","0.6"
"NOE00133842","KJERRINGOY OS, NO","2018",,,,,"1091.2",,,
"NOE00110725","SLATTEROY FYR, NO","2018",,"         8","        14","         0",,"8.6","10.5","6.7"
"NOE00133602","HILDRE, NO","2018","       12",,,,"1508.7",,,
"NOE00133726","ORSTA VOLDA LUFTHAVN, NO","2018",,"        21","        43","         2",,"7.0","11.3","2.7"
"FIE00142341","KOTKA RANKKI, FI","2018",,"        70","        48","         0","492.4","6.6","9.3","4.0"
"FIE00144882","JUUKA NIEMELA, FI","2018",,"       111","        64","         0","596.3","3.1","8.1","-1.9"
"FIE00146703","UTSJOKI NUORGAM, FI","2018",,"       120","        21","         0","496.0","-0.1","4.7","-5.0"
"NOE00110608","SVILAND, NO","2018","       77",,,,"1981.6",,,
"NOE00156715","ILSENG, NO","2018",,"       101","        84","         1",,"5.3","10.2","0.4"
"FIE00142586","ORIPAA TEINIKIVI, FI","2018",,,,,"462.6",,,
"FIE00142226","HELSINKI KUMPULA, FI","2018",,"        64","        79","         0","508.1","7.4","10.8","4.0"
"FIE00144522","HALSUA KANALA PUROLA, FI","2018",,"       107","        65","         0","435.8","3.5","8.5","-1.4"
"FIE00144407","KAUHAVA LENTOKENTTA, FI","2018",,"        95","        69","         1","366.4","4.4","9.3","-0.5"
"FIE00142106","LOHJA PORLA, FI","2018",,"        68","        75","         0","476.1","6.7","10.2","3.2"
"FIE00143316","KASKINEN SALGRUND, FI","2018",,"        67","        38","         0","410.0","6.1","8.8","3.4"
"FIE00145616","RAAHE LAPALUOTO, FI","2018",,,,,,,,
"NOE00109768","TAKLE, NO","2018",,"         6","        26","         0","2816.8","7.9","10.9","5.0"
"NOE00109640","LISTA FYR, NO","2018",,"        10","        28","         0","1194.2","8.6","11.1","6.2"
"NOE00110851","SOGNDAL SELSENG, NO","2018","      156",,,,"1643.1",,,
"NOE00133710","SMOLA MOLDSTAD, NO","2018",,,,,"1280.7",,,
"NOE00109885","ASKER, NO","2018",,"        70","        84","         1","790.4","7.1","11.4","2.8"
"NOE00134802","MOSSTRAND II, NO","2018","      148","       118","        44","         0","778.2","2.5","6.6","-1.7"
"NOE00110617","EKSINGEDAL, NO","2018","      157",,,,"2444.1",,,
"NOE00133954","SVOLVAER LUFTHAVN, NO","2018",,"        40","        11","         0",,"5.8","8.2","3.4"
"NOE00134922","SORKJOSEN LUFTHAVN, NO","2018",,"        86","        13","         0",,"3.3","6.8","-0.1"
"FIE00143570","VIRRAT AIJANNEVA, FI","2018",,"        98","        73","         0",,"4.2","9.2","-0.7"
"FIE00143691","JAMSA HALLI LENTOASEMANTIE, FI","2018",,"       101","        79","         1","521.1","5.2","9.4","1.0"
"FIE00143321","MERIKARVIA TUORILA ALAKYLA, FI","2018",,,,,"440.5",,,
"FIE00145742","PUDASJARVI JAURAKKAJARVI, FI","2018",,,,,"518.4",,,
"FIE00143326","ISOJOKI KARJENKOSKI, FI","2018",,,,,"500.9",,,
"FIE00142116","VIHTI MAASOJA, FI","2018",,"        72","        81","         0",,"5.3","10.5","0.0"
"FIE00145502","SOTKAMO KUOLANIEMI, FI","2018",,"       114","        61","         0","471.7","3.5","7.5","-0.5"
"NOE00109759","TVEITSUND, NO","2018",,"        56","        79","         0","906.9","6.8","11.5","2.1"
"FIE00145627","SIIKAJOKI REVONLAHTI, FI","2018",,"       108","        61","         0","401.6","3.4","8.0","-1.2"
"NOE00109514","GARDERMOEN SOR, NO","2018",,,,,"600.8",,,
"NOE00109831","ORJE, NO","2018","      119",,,,"686.2",,,
"NOE00105476","HOPEN, NO","2018",,"       135","         0","         0","352.4","-1.4","0.2","-3.0"
"NOE00110824","MARISTOVA, NO","2018","      169",,,,"748.6",,,
"NOE00134910","GRUNNFJORD STAKKEN, NO","2018","      155",,,,"870.9",,,
"NOE00133822","EVENES LUFTHAVN, NO","2018",,"        69","        22","         1",,"4.0","7.7","0.3"
"FIE00145881","KEMI AJOS, FI","2018",,"       112","        35","         0",,"3.4","6.7","0.3"
