"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"NOE00110941","ORSKOG, NO","2018",,"         9","        35","         1","1300.5","7.9","11.6","4.2"
"FIE00143211","VIROLAHTI KOIVUNIEMI, FI","2018",,"        85","        67","         0","648.7","5.4","9.7","1.0"
"FIE00144542","ALAJARVI MOKSY, FI","2018",,,,,"441.4",,,
"FIE00142241","HELSINKI MALMIN LENTOASEMA, FI","2018",,"        68","        76","         0",,"6.2","10.4","2.1"
"FIE00143575","TAMPERE SIILINKARI, FI","2018",,"        81","        63","         0",,"6.0","9.3","2.7"
"FIE00144782","KUOPIO SAVILAHTI, FI","2018",,"        96","        67","         0","528.6","4.9","8.6","1.2"
"NOE00110707","ROLDAL, NO","2018",,,,,"1801.4",,,
"FIE00145997","RANUA LENTOKENTTA, FI","2018",,"       128","        53","         0","414.6","1.8","6.8","-3.2"
"FIE00143456","JALASJARVI HIRVIJARVI, FI","2018",,,,,"349.2",,,
"NOE00105467","BODOE VI, NO","2018",,"        50","        16","         0","1090.6","5.7","8.1","3.4"
"FIE00146727","INARI VAYLA, FI","2018",,"       136","        37","         1",,"0.2","5.1","-4.6"
"NOE00109822","RADE TOMB, NO","2018",,"        53","        84","         1",,"7.4","11.9","3.0"
"NOE00109948","ATNSJOEN, NO","2018","      162",,,,"604.5",,,
"NOE00110716","ROSENDAL, NO","2018","       13",,,,"1997.0",,,
"NOE00132966","RISOR BRANNSTASJON, NO","2018","       46",,,,"900.6",,,
"NOE00110959","SUNNDALSORA III, NO","2018","       25",,,,"813.1",,,
"FIE00143471","KAUHAJOKI KUJA KOKKO, FI","2018",,"        87","        69","         0","362.2","4.5","9.3","-0.3"
"NOE00110833","MYKLEBUST I BREIM, NO","2018","      129",,,,"1638.9",,,
"FIE00142495","RAUMA KYLMAPIHLAJA, FI","2018",,"        61","        35","         0",,"6.8","9.0","4.5"
"FIE00145522","NURMES MUJEJARVI, FI","2018",,,,,"696.8",,,
"FIE00142010","TURKU ARTUKAINEN, FI","2018",,"        60","        91","         4","455.4","7.1","11.1","3.2"
"FIE00143341","TEUVA KAUPPILANKYLA, FI","2018",,,,,"497.1",,,
"FIE00144552","MULTIA KARHILA, FI","2018",,"       117","        66","         0","463.9","4.1","8.2","-0.1"
"FIE00142015","KEMIONSAARI KEMIO KK, FI","2018",,"        63","        87","         1","525.9","6.5","10.9","2.2"
"FIE00144557","VIITASAARI HAAPANIEMI, FI","2018",,"       103","        72","         0","351.8","4.9","8.6","1.1"
"NOE00156803","NOTODDEN FLYPLASS, NO","2018",,,,,,,,
"FIE00144797","HEINAVESI PALOKKI, FI","2018",,,,,"635.5",,,
"NOE00109813","IGSI I HOBOL, NO","2018","      129",,,,"688.4",,,
"FIE00146618","ENONTEKIO KILPISJARVI KYLAKESK, FI","2018",,,,,"405.0",,,
"NOE00109939","TRYVASSHOGDA, NO","2018",,"        97","        60","         0","1038.4","5.6","8.9","2.3"
"NOE00105492","UTSIRA FYR, NO","2018",,"         6","         7","         0","1243.7","8.4","10.1","6.8"
"NOE00105498","KARASJOK MARKANNJARGA, NO","2018","      169","       137","        31","         0","537.9","-0.8","4.4","-6.0"
"NOE00110923","NORDDAL, NO","2018",,,,,"991.5",,,
"NO000080700","GLOMFJORD, NO","2018",,"        35","        19","         0",,"6.0","8.8","3.2"
"NOE00132954","EIKELAND, NO","2018","      125",,,,"1234.9",,,
"NOE00133926","VALLJORD, NO","2018","      136",,,,"1297.7",,,
"NOE00133806","BJORKASEN, NO","2018",,,,,"1356.1",,,
"SV000020107","BARENCBURG, SV","2018",,"       164","         0","         0","705.4","-2.1","-0.2","-4.1"
"FIE00142385","LOVIISA ORRENGRUND, FI","2018",,"        69","        36","         0",,"6.7","8.9","4.5"
"FIE00143596","JUUPAJOKI HYYTIALA, FI","2018",,"        99","        74","         0","540.0","4.8","9.4","0.3"
"FIE00144322","SEINAJOKI PELMAA, FI","2018",,"        92","        73","         2","430.7","4.9","9.6","0.2"
"FIE00146622","ENONTEKIO KILPISJARVI SAANA, FI","2018",,"       203","         9","         0",,"-2.2","0.2","-4.7"
"FIE00144202","TOHMAJARVI KEMIE, FI","2018",,"       108","        68","         0","575.1","3.8","8.5","-0.9"
"FIE00145772","SUOMUSSALMI NALJANKA, FI","2018",,,,,"591.7",,,
"NOE00110806","HOVLANDSDAL, NO","2018","       69",,,,"3075.4",,,
"NOE00109604","ORLAND, NO","2018","       23","        27","        25","         0","901.0","7.2","10.0","4.3"
"FIE00146508","KITTILA POKKA, FI","2018",,"       143","        37","         0","480.5","0.2","4.9","-4.6"
"FIE00144207","JOENSUU HUHTILAMPI, FI","2018",,,,,"624.3",,,
"FIE00146748","INARI KIRKONKYLA, FI","2018",,,,,"532.5",,,
"NOE00109966","DREVSJO, NO","2018","      154","       121","        54","         0","506.5","1.3","7.1","-4.6"
"NOE00109849","SARPSBORG, NO","2018",,"        51","        84","         2","713.3","8.2","11.7","4.7"
"NOE00132942","OVREVOLL, NO","2018",,,,,"642.8",,,
"NOE00110815","LAVIK, NO","2018","       18",,,,"2490.4",,,
"FIE00145672","OULUNSALO PELLONPAA, FI","2018",,"       105","        59","         3","431.0","3.7","8.1","-0.8"
"NOE00110932","OKSENDAL, NO","2018","      113",,,,"915.3",,,
"FIE00146633","ENONTEKIO NAKKALA, FI","2018",,"       150","        28","         0","438.6","-0.9","3.6","-5.4"
"FIE00144697","PIELAVESI VENETMAKI, FI","2018",,,,,"637.8",,,
"FIE00146753","INARI KAAMANEN, FI","2018",,"       137","        30","         1","471.6","0.3","4.9","-4.2"
"FIE00142035","SALO KARKKA, FI","2018",,"        65","        84","         3","405.8","6.4","10.9","1.8"
"FIE00146757","INARI SEITALAASSA, FI","2018",,"       133","        20","         0",,"0.8","4.3","-2.6"
"FIE00144577","AANEKOSKI KALANIEMI, FI","2018",,,,,"419.5",,,
"FIE00145787","SUOMUSSALMI PESIO, FI","2018",,"       130","        56","         0","568.2","2.2","6.6","-2.2"
"NOE00109957","BLANKTJERNMOEN I KVIKNE, NO","2018","      156",,,,"438.7",,,
"NOE00112089","KJOBLI I SNAASA, NO","2018",,,,,"862.8",,,
"NOE00132930","GJETTUM, NO","2018",,,,,"711.7",,,
"NOM00001238","FOKSTUA, NO","2018","      176","       128","        29","         0","400.8","1.5","5.7","-2.7"
"FIE00141994","HANKO TULLINIEMI, FI","2018",,"        51","        43","         0",,"7.5","9.5","5.4"
"FIE00142846","NURMIJARVI GEOFYSIIKAN OBSERVA, FI","2018",,"        80","        71","         0","552.9","6.0","9.8","2.2"
"FIE00143812","MULTIA PIRTTIPERA, FI","2018",,,,,"582.6",,,
"NOE00109903","BJORNHOLT, NO","2018",,,,,,,,
"FIE00142851","HAMEENLINNA KATINEN, FI","2018",,"        82","        74","         1",,"6.1","10.1","2.0"
"FIE00142611","POYTYA YLANE, FI","2018",,,,,"434.6",,,
"FIE00142736","TAMPERE HARMALA, FI","2018",,"        82","        78","         0","468.6","5.7","10.0","1.4"
"FIE00143822","JOUTSA LEIVONMAKI SAVENAHO, FI","2018",,"       109","        68","         0","591.6","4.7","8.8","0.6"
"FIE00142856","HATTULA LEPAA, FI","2018",,"        82","        79","         1","391.8","5.8","10.1","1.5"
"FIE00143707","SYSMA JOUTSJARVI, FI","2018",,,,,"537.0",,,
"FIE00144917","LIEKSA KOLI, FI","2018",,,,,"688.2",,,
"NOM00001492","OSLO BLINDERN, NO","2018","      130","        60","        93","         2","657.1","7.9","11.9","3.9"
"NOE00109930","NORDSTRAND, NO","2018","      118",,,,"565.3",,,
"NOE00132918","AS RUSTADSKOGEN, NO","2018",,,,,"725.9",,,
"FIE00142741","SOMERO SALKOLA, FI","2018",,"        96","        66","         0","471.7","5.5","9.3","1.8"
"FIE00143952","MIKKELI LENTOASEMA, FI","2018",,"       100","        79","         0","476.3","4.7","9.4","-0.1"
"FIE00142861","LAHTI LAUNE, FI","2018",,"        88","        80","         0","453.8","5.5","10.2","0.8"
"NOE00109921","MARIDALSOSET, NO","2018","      129",,,,"723.4",,,
"FIE00144802","OUTOKUMPU VIURUNIEMI, FI","2018",,,,,"563.5",,,
"FIE00142506","PORI RAUTATIEASEMA, FI","2018",,"        75","        75","         2","391.0","6.4","10.4","2.5"
"NOE00109804","BATEROD, NO","2018","       68",,,,"582.1",,,
"NOE00112071","VAERNES, NO","2018",,"        43","        51","         3","651.1","6.6","10.6","2.5"
"NOE00132906","BLEKSLITJERN, NO","2018",,,,,"563.9",,,
"FIE00142871","HAMEENLINNA LAMMI PAPPILA, FI","2018",,"        89","        76","         0","434.2","5.4","9.6","1.1"
"FIE00142631","KOKEMAKI TULKKILA, FI","2018",,"        80","        86","         2","450.8","6.0","10.4","1.5"
"FIE00142751","HYVINKAA HYVINKAANKYLA, FI","2018",,"        80","        78","         0","532.2","5.6","10.1","1.1"
"NOE00134094","SKLINNA FYR, NO","2018",,,,,,,,
"FIE00145907","TORNIO TORPPI, FI","2018",,,,,"486.3",,,
"NOE00111084","LIAFOSS, NO","2018","      143",,,,"1842.7",,,
"NOE00134082","OVERHALLA UNNSET, NO","2018","      137",,,,"1203.7",,,
"FIE00143737","LUHANKA TAMMIJARVI, FI","2018",,,,,"576.0",,,
"FIE00142526","KOKEMAKI PEIPOHJA HYRKOLA, FI","2018",,,,,"484.3",,,
"NOE00105503","NESBYEN TODOKK, NO","2018","      137","        94","        87","         2","553.2","4.9","10.5","-0.7"
"NOE00105505","SUOLOVUOPMI LULIT, NO","2018",,"       140","        22","         0","381.1","-1.4","3.4","-6.2"
"NOE00133098","GOL STAKE, NO","2018","      141",,,,"534.5",,,
"FIE00144712","MAANINKA HALOLA, FI","2018",,"       103","        66","         0","514.1","4.3","8.4","0.3"
"FIE00142776","VIHTI HIISKULA, FI","2018",,,,,"556.2",,,
"FIE00144951","LIPERI TUISKAVANLUOTO, FI","2018",,"       104","        49","         0",,"4.5","7.6","1.3"
"FIE00144957","JOENSUU LINNUNLAHTI, FI","2018",,"       109","        66","         0","543.4","4.3","8.1","0.5"
"NOE00134070","UTGARD, NO","2018","      128",,,,"857.2",,,
"FIE00145807","PUOLANKA KOTILA, FI","2018",,,,,"669.3",,,
"NOE00134178","EINAVATN, NO","2018","      146",,,,"603.7",,,
"FIE00145812","PUOLANKA PALJAKKA, FI","2018",,"       135","        49","         0","676.3","2.3","6.0","-1.3"
"FIE00144842","RAUTAVAARA ALA LUOSTA, FI","2018",,,,,"558.7",,,
"FIE00142305","PORVOO EMASALO, FI","2018",,"        67","        48","         0",,"6.9","9.4","4.4"
"NOE00111183","LEIRFJORD, NO","2018","      144",,,,"1715.9",,,
"FIE00143757","JYVASKYLA MUURATJARVI, FI","2018",,,,,"445.4",,,
"NOE00110092","REINLI, NO","2018","      149",,,,"846.0",,,
"NOE00134046","OTTEROY, NO","2018","      103",,,,"1339.7",,,
"NOE00134286","ASKIM II, NO","2018",,"        74","        79","         1","659.3","6.6","11.1","2.0"
"FI000007501","SODANKYLA AWS, FI","2018",,,,,"472.2",,,
"NOE00134166","SOGNEFJELLHYTTA, NO","2018",,"       172","         0","         0","916.8","-1.3","1.9","-4.4"
"NOE00135018","MELSOM, NO","2018",,"        50","        80","         1","847.0","7.9","11.9","3.9"
"FIE00145702","PUDASJARVI LENTOKENTTA, FI","2018",,"       121","        61","         0","418.9","2.6","7.3","-2.0"
"FIE00142436","UUSIKAUPUNKI NERVANDERINPUISTO, FI","2018",,,,,"444.4",,,
"NOE00134154","LESJA SVANBORG, NO","2018","      137",,,,"334.1",,,
"NOE00110065","LUNNER, NO","2018","      139",,,,"643.5",,,
"NOE00111156","ALSVAG I VERSTERALEN II, NO","2018","      131",,,,"1151.4",,,
"NOE00134038","NAMSOS LUFTHAVN, NO","2018",,"        61","        37","         1",,"5.7","9.3","2.0"
"FIE00146372","PELKOSENNIEMI PYHATUNTURI, FI","2018",,"       157","        31","         0",,"1.5","4.2","-1.2"
"FIE00146493","KITTILA KENTTAROVA, FI","2018",,"       136","        31","         0","527.5","1.1","4.8","-2.7"
"FIE00144077","SULKAVA HALTTULA, FI","2018",,,,,"502.8",,,
"FIE00145042","ILOMANTSI POTSONVAARA, FI","2018",,"       128","        61","         0","554.4","3.5","7.2","-0.3"
"FIE00144067","SAVONLINNA LAUKANSAARI, FI","2018",,,,,"523.9",,,
"NO000001026","TROMSO, NO","2018","      167","        75","        12","         0","908.0","3.9","6.8","1.1"
"NOE00111040","TRONDHEIM VOLL, NO","2018",,"        48","        40","         0","829.1","6.1","9.6","2.6"
"NOE00133194","SIRBMA, NO","2018",,,,,"427.8",,,
"NOE00134022","LEKSVIK MYRAN, NO","2018","      133",,,,"1238.4",,,
"FIE00145052","ILOMANTSI MEKRIJARVI, FI","2018",,"       115","        66","         0","506.2","4.0","8.0","0.0"
"FIE00145292","PYHAJARVI OJAKYLA, FI","2018",,"       114","        62","         0","449.5","3.3","8.1","-1.5"
"FIE00145177","TOHOLAMPI ORAVALA, FI","2018",,,,,"518.3",,,
"FIE00145297","PYHAJARVI HIIDENNIEMI, FI","2018",,,,,"425.1",,,
"FIE00146017","PUDASJARVI SARAKYLA, FI","2018",,,,,"538.6",,,
"FIE00146258","ROVANIEMI APUKKA, FI","2018",,"       128","        55","         0","468.9","1.5","6.6","-3.6"
"FIE00146378","SALLA KK MYLLYTIE, FI","2018",,"       133","        45","         0","473.9","1.5","6.1","-3.1"
"FIE00146498","KITTILA KK, FI","2018",,"       132","        44","         1","430.4","0.9","5.8","-3.9"
"NO000050540","BERGEN FLORIDA, NO","2018","       13","         4","        46","         1","2398.8","9.0","12.3","5.7"
"NOE00110083","PRESTSTULEN, NO","2018","      169",,,,"567.2",,,
"NOE00134394","SAND I RYFYLKE II, NO","2018","       55",,,,"2365.7",,,
"DA000021100","VESTERVIG, DA","2018",,,,,"757.4",,,"6.8"
"FIE00141925","HANKO RUSSARO, FI","2018",,"        48","        46","         0",,"7.4","9.7","5.2"
"NOE00111138","SORLI, NO","2018",,,,,"614.2",,,
"NOE00110164","GEILO, NO","2018","      162",,,,"869.3",,,
"NOE00110173","GRIMELI I KRODSHERAD, NO","2018","      145",,,,"770.7",,,
"FIE00141935","KAARINA YLTOINEN, FI","2018",,"        63","        81","         2","486.1","6.4","10.8","2.0"
"NOE00134142","OLSTAPPEN, NO","2018",,,,,"477.2",,,
"NOE00134382","OLTEDAL, NO","2018","       26",,,,"2036.4",,,
"NOE00111147","TUNNSJO, NO","2018","      161",,,,"791.6",,,
"NOE00133398","VEA, NO","2018","      139",,,,"699.3",,,
"NOE00111264","BONES I BARDU, NO","2018",,,,,"830.7",,,
"NOE00133278","ATNDALEN RONNINGEN, NO","2018","      154",,,,"507.1",,,
"FIE00146042","TAIVALKOSKI INKEE, FI","2018",,,,,"622.4",,,
"FIE00146162","YLITORNIO MELTOSJARVI, FI","2018",,"       127","        57","         0","362.2","1.6","6.9","-3.6"
"FIE00146037","POSIO RAISTAKKA, FI","2018",,,,,"559.5",,,
"SWE00140960","NAIMAKKA, SW","2018",,"       138","        28","         0","382.4","-1.5","3.6","-6.7"
"NOE00110182","GULSVIK II, NO","2018",,"        86","       100","         5","770.4","6.4","11.5","1.4"
"NOE00134490","NORDFJORDEID NYMARK, NO","2018","       59",,,,"1789.4",,,
"NOE00133162","BERLEVAG LUFTHAVN, NO","2018",,"        82","        11","         1",,"3.0","6.0","0.1"
"SWE00140968","SAARIKOSKI D, SW","2018","      176",,,,"363.8",,,
"NOE00134250","HEDAL I VALDRES II, NO","2018","      152",,,,"751.5",,,
"NOE00133386","AKRESTROMMEN, NO","2018","      136",,,,"441.4",,,
"NOE00133266","ELLEFSPLASS, NO","2018","      166",,,,"608.1",,,
"NOE00111237","SUSENDAL, NO","2018","      163",,,,"726.9",,,
"NOE00110020","BEITO, NO","2018","      154",,,,"894.4",,,
"NOE00110384","TUDDAL, NO","2018","      152",,,,"875.8",,,
"NOE00134598","SVELGEN II, NO","2018",,"         6","        47","         2","2538.5","8.8","12.1","5.6"
"NOE00133026","DOVLAND, NO","2018","      136",,,,"1334.0",,,
"NOE00134478","GJENGEDAL, NO","2018","      133",,,,"2573.9",,,
"NOE00134118","VENABU, NO","2018","      161","       132","        43","         0","735.2","1.2","5.8","-3.3"
"FIE00146057","TAIVALKOSKI KK KAUPPATIE, FI","2018",,"       125","        54","         0","567.8","1.8","6.6","-3.1"
"NOE00109394","BARDUFOSS, NO","2018",,"        96","        28","         2","652.3","1.2","6.1","-3.8"
"NOE00110029","BIRI, NO","2018","      152",,,,"818.8",,,
"NOE00100575","HALDEN, NO","2018",,,,,"645.7",,,
"NOE00100574","BULKEN, NO","2018","      128","        39","        57","         0","1804.0","6.3","10.1","2.5"
"NOE00133150","MEHAMN LUFTHAVN, NO","2018",,"        89","        10","         0",,"2.9","5.8","0.0"
"NOE00111004","BESSAKER, NO","2018","        6",,,,"1073.3",,,
"NOE00133254","HEGGERISET NORDSTRAND, NO","2018","      153",,,,"625.3",,,
"NOE00134586","VEITASTROND, NO","2018","      160",,,,"1724.5",,,
"NOE00134226","FILEFJELL KYRKJESTOLANE, NO","2018",,"       133","        29","         0",,"0.0","5.1","-5.2"
"NOE00133014","LANDVIK, NO","2018",,"        21","        78","         0","1402.6","8.5","12.5","4.4"
"NOE00110276","FOLDSAE, NO","2018","      142",,,,"879.8",,,
"NOE00100570","MESTAD I ODDERNES, NO","2018","      125",,,,"1769.5",,,
"FIE00146182","KOLARI KATTILAMAA, FI","2018",,,,,"447.2",,,
"DA000030370","KOEBENHAVN BOTANISK HAVE, DA","2018",,,,,"486.7",,,
"FIE00146067","KUUSAMO KIUTAKONGAS, FI","2018",,"       128","        51","         0","395.8","1.5","6.4","-3.5"
"FIE00146187","PELLO KK MUSEOTIE, FI","2018",,"       128","        55","         0","345.0","1.8","6.7","-3.1"
"FIE00142931","MANTSALA HIRVIHAARA, FI","2018",,,,,"502.2",,,
"NOE00134350","HAUGESUND LUFTHAVN, NO","2018",,"         6","        24","         0",,"8.4","11.2","5.6"
"FIE00142816","HAMEENLINNA PIRTTIKOSKI, FI","2018",,,,,"563.5",,,
"NOE00133122","HAMMERFEST LUFTHAVN, NO","2018",,"        85","        12","         0","692.4","3.3","6.0","0.6"
"NOE00134574","OVRE ARDAL, NO","2018",,,,,"887.9",,,
"NOE00110366","RAULAND, NO","2018","      148",,,,"898.6",,,
"NOE00133002","NELAUG, NO","2018","      121","        44","        81","         0","1346.3","7.5","12.0","3.1"
"NOE00134454","FURENESET, NO","2018",,"         6","        29","         0","2279.0","8.0","11.2","4.8"
"NOE00111336","KAUTOKEINO, NO","2018","      188","       135","        29","         0","417.3","-0.9","4.1","-6.0"
"NOE00133362","VALDALEN, NO","2018","      174",,,,"703.5",,,
"NOE00133242","LINNES, NO","2018",,,,,"680.4",,,
"NOE00134694","ANGARDSVATNET, NO","2018","      166",,,,"577.2",,,
"NOE00110240","HEDRUM, NO","2018","      133",,,,"972.2",,,
"NOE00134334","KARMOY BREKKEVANN, NO","2018","       11",,,,"1655.2",,,
"NOE00111210","OKSNINGOY, NO","2018","      117",,,,"1452.6",,,
"NOE00134214","LOKEN I VOLBU, NO","2018",,"       100","        64","         0","705.6","3.6","8.6","-1.4"
"NOE00110128","VANG I VALDRES, NO","2018","      132",,,,"579.3",,,
"NOE00110249","LARVIK, NO","2018",,,,,"847.6",,,
"NOE00111219","STEIGEN, NO","2018","      114",,,,"1229.1",,,
"DA000030380","KOEBENHAVN LANDBOHOJSKOLEN 1, DA","2018",,,,,,,,"7.2"
"SWE00140932","KATKESUANDO, SW","2018",,,,,"470.0",,,
"FIE00141855","JOMALA JOMALABY, FI","2018",,"        51","        69","         0","440.8","7.0","10.9","3.1"
"FIE00143917","JOUTSA PARNAMAKI, FI","2018",,,,,"586.8",,,
