"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"NOE00110860","STADLANDET, NO","2019",,"         2","        17","         0","2294.5","7.8","10.8","4.8"
"NOE00109993","KVIKNE I OSTERDAL, NO","2019","      187",,,,"602.4",,,
"NOE00110500","FLEKKEFJORD, NO","2019","       17",,,,"2315.6",,,
"NOE00132894","UKKESTAD, NO","2019","      139",,,,"1179.0",,,
"NOE00109876","MOSS BRANNSTASJON, NO","2019","       49",,,,"1062.2",,,
"NOE00109631","LINDESNES FYR, NO","2019","        5","         1","         5","         0","1506.9","8.9","10.6","7.2"
"NOE00133746","VIGRA, NO","2019","       33",,,,"1368.6",,,
"NOE00110869","VIK I SOGN III, NO","2019","       49",,,,"1122.0",,,
"NOE00110743","AURLAND, NO","2019","       33",,,,"676.2",,,
"NOE00134718","STUGUDAL KASEN, NO","2019","      201",,,,"911.5",,,
"NOE00110986","AUNET, NO","2019","      141",,,,"1001.5",,,
"FIE00142561","HUITTINEN SALLILA, FI","2019",,,,,"685.9",,,
"FIE00144982","LIEKSA LAMPELA, FI","2019",,"        81","        37","         0","592.0","3.1","7.4","-1.2"
"FIE00144862","RAUTAVAARA YLA LUOSTA, FI","2019",,"        95","        36","         0","759.8","2.8","7.1","-1.6"
"NOE00156739","LINGE, NO","2019",,"        10","        48","         0",,"8.5","12.0","4.9"
"FIE00142441","LAITILA HAUKKA, FI","2019",,,,,"720.4",,,
"FIE00143897","KANGASNIEMI KIRKONKYLA, FI","2019",,,,,"683.3",,,
"FIE00144742","SUONENJOKI IISVESI, FI","2019",,,,,"560.7",,,
"FIE00143416","IKAALINEN VEHUVARPEE, FI","2019",,,,,"761.2",,,
"NOE00109746","TAFJORD, NO","2019",,"         8","        44","         0","928.5","8.3","11.9","4.8"
"NOE00110752","BOTNEN I FORDE, NO","2019","      128",,,,"2632.6",,,
"NOE00110995","AURSUND, NO","2019","      204",,,,"688.6",,,
"NOE00109622","ROROS AIRPORT, NO","2019","      176","        95","        17","         0","529.7","1.6","6.5","-3.3"
"NOE00109984","KISE PA HEDMARK, NO","2019",,"        59","        50","         0","778.2","5.6","9.9","1.3"
"NOE00133614","ERESFJORD, NO","2019","      104",,,,"1559.3",,,
"NOE00133978","STOKMARKNES LH SKAGEN, NO","2019",,"        48","         8","         0",,"4.5","7.8","1.3"
"NOE00110635","FANA STEND, NO","2019","       20",,,,"2215.6",,,
"NOE00134826","KVITESEID MOEN, NO","2019","      145",,,,"1064.1",,,
"NOE00110878","YTRE SOLUND, NO","2019","       12",,,,"1517.5",,,
"FIE00144751","KUOPIO RITONIEMI, FI","2019",,"        74","        35","         0",,"4.6","7.9","1.4"
"FIE00142331","PORVOO HARABACKA, FI","2019",,"        44","        68","         2","756.9","6.6","10.6","2.5"
"FIE00142696","NOKIA TOTTIJARVI, FI","2019",,,,,"622.3",,,
"FIE00143546","ALAVUS SULKAVANKYLA, FI","2019",,,,,"617.8",,,
"FIE00144877","LIPERI JOENSUUN LENTOASEMA, FI","2019",,"        79","        30","         0",,"3.9","7.5","0.2"
"FIE00145727","UTAJARVI SARKIJARVI, FI","2019",,,,,"626.0",,,
"NOE00109737","ONA II, NO","2019",,"         1","         5","         0",,"8.1","9.9","6.3"
"NOE00109858","STROMSFOSS SLUSE, NO","2019","       37",,,,"1128.4",,,
"FIE00143306","PARIKKALA KOITSANLAHTI, FI","2019",,"        66","        36","         0","552.0","4.2","8.8","-0.3"
"FIE00144637","VESANTO SONKARI, FI","2019",,"        77","        42","         1","682.9","3.8","8.1","-0.5"
"NOE00132990","BOYLEFOSS, NO","2019","       94",,,,"1681.2",,,
"NOE00109777","SLETTNES FYR, NO","2019",,"        75","         3","         0",,"2.0","4.3","-0.3"
"NOE00133842","KJERRINGOY OS, NO","2019",,,,,"1216.1",,,
"NOE00110725","SLATTEROY FYR, NO","2019",,"         0","        13","         0",,"9.1","10.9","7.2"
"NOE00133726","ORSTA VOLDA LUFTHAVN, NO","2019",,"        19","        36","         0",,"6.8","11.1","2.5"
"FIE00142341","KOTKA RANKKI, FI","2019",,,,,"649.4",,,
"FIE00145852","KEMINMAA KEMI TORNION LENTOASE, FI","2019",,"        84","        20","         0",,"1.7","6.2","-2.8"
"FIE00144882","JUUKA NIEMELA, FI","2019",,"        81","        35","         0","631.5","3.0","7.5","-1.5"
"FIE00144887","JOENSUU PYHASELKA, FI","2019",,,,,"710.1",,,
"FIE00146703","UTSJOKI NUORGAM, FI","2019",,"       129","         9","         0","370.1","-1.2","3.3","-5.7"
"NOE00110608","SVILAND, NO","2019","       19",,,,"2076.2",,,
"NOE00156715","ILSENG, NO","2019",,,,,,,,
"FIE00142226","HELSINKI KUMPULA, FI","2019",,"        38","        67","         1","774.1","7.3","10.7","3.8"
"FIE00144522","HALSUA KANALA PUROLA, FI","2019",,"        77","        34","         0","671.8","3.3","7.9","-1.2"
"FIE00144407","KAUHAVA LENTOKENTTA, FI","2019",,"        66","        40","         0","487.1","4.4","8.8","0.1"
"FIE00142106","LOHJA PORLA, FI","2019",,"        43","        58","         0","785.3","7.0","10.4","3.5"
"FIE00143316","KASKINEN SALGRUND, FI","2019",,"        48","        18","         0","500.1","5.8","8.4","3.2"
"FIE00145616","RAAHE LAPALUOTO, FI","2019",,"        67","        19","         0",,"3.9","6.7","1.1"
"NOE00109768","TAKLE, NO","2019",,"         1","        18","         0","2671.0","8.2","11.1","5.3"
"NOE00109640","LISTA FYR, NO","2019",,"         0","        15","         0","1224.4","8.9","11.3","6.6"
"NOE00110851","SOGNDAL SELSENG, NO","2019","      161",,,,"1563.3",,,
"NOE00133710","SMOLA MOLDSTAD, NO","2019",,,,,"1212.0",,,
"NOE00109885","ASKER, NO","2019",,"        44","        55","         0","1367.7","6.9","10.7","3.0"
"NOE00134802","MOSSTRAND II, NO","2019","      162","        98","        17","         0","911.7","2.4","6.1","-1.2"
"NOE00110617","EKSINGEDAL, NO","2019","      155",,,,"2223.5",,,
"NOE00133954","SVOLVAER LUFTHAVN, NO","2019",,"        45","        13","         0",,"5.5","8.0","3.0"
"NOE00134922","SORKJOSEN LUFTHAVN, NO","2019",,"        88","        11","         0",,"2.4","5.7","-0.9"
"FIE00143570","VIRRAT AIJANNEVA, FI","2019",,"        65","        38","         0",,"4.1","8.6","-0.3"
"FIE00143691","JAMSA HALLI LENTOASEMANTIE, FI","2019",,"        67","        54","         0","691.7","5.1","9.1","1.2"
"FIE00143321","MERIKARVIA TUORILA ALAKYLA, FI","2019",,,,,"660.2",,,
"FIE00145742","PUDASJARVI JAURAKKAJARVI, FI","2019",,,,,"649.2",,,
"FIE00143326","ISOJOKI KARJENKOSKI, FI","2019",,,,,"693.8",,,
"FIE00142116","VIHTI MAASOJA, FI","2019",,"        46","        66","         1",,"5.6","10.6","0.5"
"FIE00145502","SOTKAMO KUOLANIEMI, FI","2019",,"        93","        32","         0","576.4","2.9","6.8","-0.8"
"NOE00109759","TVEITSUND, NO","2019",,"        27","        44","         0","1280.8","6.8","10.9","2.6"
"FIE00145627","SIIKAJOKI REVONLAHTI, FI","2019",,"        85","        33","         0","519.3","2.9","7.3","-1.4"
"NOE00109514","GARDERMOEN SOR, NO","2019",,,,,"882.1",,,
"NOE00109831","ORJE, NO","2019","       71",,,,"1080.9",,,
"NOE00105476","HOPEN, NO","2019",,"       211","         0","         0","296.1","-3.5","-1.7","-5.3"
"NOE00110824","MARISTOVA, NO","2019","      161",,,,"847.3",,,
"NOE00134910","GRUNNFJORD STAKKEN, NO","2019","      178",,,,"816.9",,,
"NOE00133822","EVENES LUFTHAVN, NO","2019",,"        70","        20","         0",,"3.5","7.3","-0.3"
"FIE00145881","KEMI AJOS, FI","2019",,"        79","        10","         0",,"2.8","5.8","-0.2"
"NOE00110941","ORSKOG, NO","2019",,"         9","        27","         0",,"7.7","11.5","3.9"
"FIE00143211","VIROLAHTI KOIVUNIEMI, FI","2019",,"        48","        46","         0","783.9","5.4","9.7","1.1"
"FIE00144542","ALAJARVI MOKSY, FI","2019",,"        73","        35","         0","680.6","3.5","8.0","-0.9"
"FIE00142241","HELSINKI MALMIN LENTOASEMA, FI","2019",,"        40","        58","         1",,"6.5","10.6","2.4"
"FIE00143575","TAMPERE SIILINKARI, FI","2019",,"        54","        38","         0",,"6.1","9.1","3.0"
"FIE00144782","KUOPIO SAVILAHTI, FI","2019",,"        73","        40","         0","606.9","4.7","8.2","1.3"
"NOE00110707","ROLDAL, NO","2019","      136",,,,"1665.9",,,
"FIE00145997","RANUA LENTOKENTTA, FI","2019",,"       120","        30","         0","684.4","1.0","5.6","-3.6"
"FIE00143456","JALASJARVI HIRVIJARVI, FI","2019",,,,,"527.2",,,
"NOE00105467","BODOE VI, NO","2019",,"        48","        24","         0","1130.5","5.5","8.4","2.6"
"FIE00146727","INARI VAYLA, FI","2019",,"       144","        13","         0",,"-0.9","3.5","-5.4"
"NOE00109822","RADE TOMB, NO","2019",,"        29","        47","         0",,"7.2","11.4","3.0"
"NOE00109948","ATNSJOEN, NO","2019","      177",,,,"645.3",,,
"NOE00110716","ROSENDAL, NO","2019","       13",,,,"1893.9",,,
"NOE00132966","RISOR BRANNSTASJON, NO","2019","       36",,,,"1386.1",,,
"NOE00110959","SUNNDALSORA III, NO","2019","       46",,,,,,,
"FIE00143471","KAUHAJOKI KUJA KOKKO, FI","2019",,"        63","        38","         0","477.1","4.4","8.8","0.0"
"NOE00110833","MYKLEBUST I BREIM, NO","2019","       97",,,,"1778.5",,,
"FIE00142495","RAUMA KYLMAPIHLAJA, FI","2019",,"        40","        22","         0",,"6.8","8.9","4.6"
"FIE00145522","NURMES MUJEJARVI, FI","2019",,,,,"813.2",,,
"FIE00142010","TURKU ARTUKAINEN, FI","2019",,"        37","        72","         1","740.5","7.3","11.2","3.4"
"FIE00143341","TEUVA KAUPPILANKYLA, FI","2019",,,,,"585.0",,,
"FIE00144552","MULTIA KARHILA, FI","2019",,"        84","        34","         0","697.8","3.8","7.6","-0.1"
"FIE00142015","KEMIONSAARI KEMIO KK, FI","2019",,,,,"855.3",,,
"FIE00144557","VIITASAARI HAAPANIEMI, FI","2019",,"        75","        40","         0","616.2","4.5","8.1","0.9"
